Position,Name + ID,Name,ID,Roster Position,Salary,Game Info,TeamAbbrev,AvgPointsPerGame,OWN,G,W,L,WR,K,D,A,KDA,CS,CSPM,G,GPM,KPAR,KS,GS,CP,rOWN,rFPTS
ADC,Photic (14470259),Photic,14470259,ADC,8000,SN@TES 04/02/2020 05:30AM ET,TES,1.12,0.29,20.00,12.00,8.00,0.60,3.85,2.30,6.05,4.30,268.05,8.37,0.00,0.00,0.72,0.28,0.00,5.00,0.15,139.52
ADC,Mystic (14470162),Mystic,14470162,ADC,7800,AF@APK 04/02/2020 02:00AM ET,AF,0.10,0.03,29.00,14.00,15.00,0.48,3.38,2.59,3.90,2.81,330.69,9.60,14.80,429.00,0.69,0.32,0.25,11.00,0.08,60.84
ADC,Jinjiao (14470233),Jinjiao,14470233,ADC,7600,RW@BLG 04/02/2020 04:00AM ET,BLG,0.26,0.11,25.00,10.00,15.00,0.40,2.40,2.24,4.52,3.09,306.96,8.98,13.70,402.00,0.70,0.24,0.24,6.00,0.16,43.02
ADC,Wings (14470234),Wings,14470234,ADC,7400,RW@BLG 04/02/2020 04:00AM ET,BLG,0.00,0.01,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
ADC,Ghost (14470191),Ghost,14470191,ADC,7200,DWG@HLE 04/02/2020 04:00AM ET,DWG,0.81,0.11,3.00,2.00,1.00,0.67,7.33,2.67,5.00,4.63,400.00,10.33,18.90,488.00,0.69,0.41,0.26,2.00,0.00,0.00
ADC,Kramer (14470216),Kramer,14470216,ADC,7000,LGD@WE 04/02/2020 02:00AM ET,LGD,0.34,0.08,22.00,8.00,14.00,0.36,4.23,2.73,5.59,3.60,292.86,8.92,14.30,437.00,0.72,0.31,0.25,7.00,0.10,107.64
ADC,huanfeng (14470249),huanfeng,14470249,ADC,6800,SN@TES 04/02/2020 05:30AM ET,SN,0.38,0.08,23.00,11.00,12.00,0.48,4.78,2.43,5.39,4.18,314.61,9.90,14.50,457.00,0.76,0.36,0.26,7.00,0.16,88.44
ADC,Deft (14470198),Deft,14470198,ADC,6600,KT@DRX 04/02/2020 05:30AM ET,DRX,0.44,0.11,30.00,19.00,11.00,0.63,4.00,1.83,4.97,4.89,332.63,9.91,15.00,447.00,0.71,0.32,0.25,10.00,0.19,88.02
ADC,ZWuji (14470242),ZWuji,14470242,ADC,6400,RW@BLG 04/02/2020 04:00AM ET,RW,0.00,0.07,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.06,94.56
ADC,Aiming (14470206),Aiming,14470206,ADC,6200,KT@DRX 04/02/2020 05:30AM ET,KT,0.42,0.11,29.00,15.00,14.00,0.52,3.86,1.17,3.93,6.65,315.00,9.94,14.30,450.00,0.80,0.40,0.26,10.00,0.11,13.64
ADC,HyBriD (14470173),HyBriD,14470173,ADC,6000,AF@APK 04/02/2020 02:00AM ET,APK,0.09,0.02,20.00,7.00,13.00,0.35,4.30,2.30,3.25,3.28,344.70,9.93,15.40,443.00,0.69,0.39,0.27,7.00,0.04,105.80
