Position,Name + ID,Name,ID,Roster Position,Salary,Game Info,TeamAbbrev,AvgPointsPerGame,OWN,G,W,L,WR,K,D,A,KDA,CS,CSPM,G,GPM,KPAR,KS,GS,CP,rOWN,rFPTS
TEAM,Rogue Warriors (14470243),Rogue Warriors,14470243,TEAM,3800,RW@BLG 04/02/2020 04:00AM ET,RW,0.00,0.05,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.06,53.00
SUP,Missing (14470223),Missing,14470223,SUP,6200,LGD@WE 04/02/2020 02:00AM ET,WE,0.25,0.25,21.00,11.00,10.00,0.52,1.00,2.90,9.48,3.61,46.29,1.48,7.90,252.00,0.74,0.07,0.14,8.00,0.19,85.16
SUP,QiuQiu (14470255),QiuQiu,14470255,SUP,5800,SN@TES 04/02/2020 05:30AM ET,TES,0.18,0.23,13.00,10.00,3.00,0.77,0.77,2.15,9.38,4.71,40.23,1.23,0.00,0.00,0.69,0.05,0.00,6.00,0.18,91.64
SUP,XinMo (14470230),XinMo,14470230,SUP,5600,RW@BLG 04/02/2020 04:00AM ET,BLG,0.06,0.13,25.00,10.00,15.00,0.40,0.44,3.08,6.84,2.36,38.04,1.11,7.50,219.00,0.73,0.04,0.13,6.00,0.11,21.84
SUP,yuyanjia (14470256),yuyanjia,14470256,SUP,5600,SN@TES 04/02/2020 05:30AM ET,TES,0.01,0.01,7.00,2.00,5.00,0.29,1.00,3.14,6.57,2.41,25.71,0.83,7.20,233.00,0.62,0.08,0.13,5.00,0.00,0.00
SUP,Jelly (14470158),Jelly,14470158,SUP,5400,AF@APK 04/02/2020 02:00AM ET,AF,0.05,0.05,30.00,15.00,15.00,0.50,0.93,2.37,6.30,3.06,37.93,1.07,8.10,228.00,0.69,0.09,0.14,11.00,0.05,33.62
SUP,BeryL (14470187),BeryL,14470187,SUP,5200,DWG@HLE 04/02/2020 04:00AM ET,DWG,0.02,0.04,16.00,8.00,8.00,0.50,0.44,3.00,8.19,2.88,56.56,1.65,8.20,239.00,0.68,0.03,0.14,8.00,0.03,71.82
SUP,Keria (14470196),Keria,14470196,SUP,4800,KT@DRX 04/02/2020 05:30AM ET,DRX,0.11,0.17,30.00,19.00,11.00,0.63,0.67,2.17,8.93,4.43,40.07,1.19,8.00,240.00,0.76,0.05,0.13,15.00,0.16,74.12
SUP,Killua (14470213),Killua,14470213,SUP,4800,LGD@WE 04/02/2020 02:00AM ET,LGD,0.02,0.02,7.00,3.00,4.00,0.43,0.86,2.43,11.43,5.06,65.14,1.98,8.60,261.00,0.84,0.06,0.15,3.00,0.12,65.26
SUP,SwordArt (14470247),SwordArt,14470247,SUP,4600,SN@TES 04/02/2020 05:30AM ET,SN,0.05,0.08,25.00,11.00,14.00,0.44,0.64,3.28,8.88,2.90,31.04,0.96,7.30,226.00,0.70,0.05,0.13,9.00,0.07,43.42
