Date,Open,High,Low,Close,Adj Close,Volume
2019-04-01,1.020000,1.020000,0.980000,1.000000,1.000000,208700
2019-04-02,1.010000,1.040000,0.980000,1.000000,1.000000,377300
2019-04-03,1.000000,1.040000,0.980000,1.000000,1.000000,189500
2019-04-04,1.020000,1.080000,0.990000,1.030000,1.030000,643100
2019-04-05,1.080000,1.110000,1.030000,1.050000,1.050000,656300
2019-04-08,1.100000,1.130000,1.060000,1.100000,1.100000,576900
2019-04-09,1.100000,1.100000,1.010000,1.050000,1.050000,367600
2019-04-10,1.040000,1.150000,1.030000,1.110000,1.110000,500500
2019-04-11,1.130000,1.140000,1.040000,1.050000,1.050000,479200
2019-04-12,1.080000,1.080000,0.920000,0.940000,0.940000,1132400
2019-04-15,0.790000,0.790000,0.640000,0.700000,0.700000,2836100
2019-04-16,0.670000,0.700000,0.640000,0.660000,0.660000,793400
2019-04-17,0.670000,0.680000,0.610000,0.640000,0.640000,451800
2019-04-18,0.650000,0.670000,0.630000,0.660000,0.660000,431900
2019-04-22,0.660000,0.720000,0.640000,0.700000,0.700000,1538800
2019-04-23,0.710000,0.720000,0.660000,0.670000,0.670000,701700
2019-04-24,0.670000,0.700000,0.670000,0.690000,0.690000,540300
2019-04-25,0.690000,0.690000,0.630000,0.650000,0.650000,599700
2019-04-26,0.630000,0.650000,0.600000,0.630000,0.630000,345000
2019-04-29,0.650000,0.680000,0.630000,0.680000,0.680000,227100
2019-04-30,0.660000,0.690000,0.640000,0.660000,0.660000,283900
2019-05-01,0.650000,0.680000,0.640000,0.660000,0.660000,178100
2019-05-02,0.670000,0.680000,0.630000,0.640000,0.640000,225800
2019-05-03,0.660000,0.670000,0.630000,0.640000,0.640000,170800
2019-05-06,0.630000,0.640000,0.600000,0.630000,0.630000,238500
2019-05-07,0.640000,0.660000,0.610000,0.630000,0.630000,124100
2019-05-08,0.640000,0.650000,0.590000,0.600000,0.600000,204600
2019-05-09,0.610000,0.610000,0.560000,0.580000,0.580000,297000
2019-05-10,0.560000,0.600000,0.560000,0.590000,0.590000,116800
2019-05-13,0.590000,0.590000,0.550000,0.570000,0.570000,134500
2019-05-14,0.580000,0.580000,0.510000,0.530000,0.530000,209500
2019-05-15,0.540000,0.540000,0.510000,0.530000,0.530000,107000
2019-05-16,0.530000,0.560000,0.520000,0.540000,0.540000,105000
2019-05-17,0.550000,0.550000,0.510000,0.520000,0.520000,148200
2019-05-20,0.520000,0.520000,0.500000,0.510000,0.510000,119500
2019-05-21,0.500000,0.520000,0.500000,0.500000,0.500000,90500
2019-05-22,0.500000,0.540000,0.500000,0.510000,0.510000,85800
2019-05-23,0.500000,0.530000,0.470000,0.480000,0.480000,123500
2019-05-24,0.480000,0.510000,0.470000,0.480000,0.480000,117800
2019-05-28,0.510000,0.530000,0.460000,0.480000,0.480000,78100
2019-05-29,0.490000,0.500000,0.460000,0.470000,0.470000,93200
2019-05-30,0.420000,0.450000,0.380000,0.400000,0.400000,545500
2019-05-31,0.400000,0.400000,0.340000,0.390000,0.390000,261300
2019-06-03,0.400000,0.400000,0.340000,0.390000,0.390000,137300
2019-06-04,0.380000,0.410000,0.350000,0.380000,0.380000,150500
2019-06-05,0.400000,0.420000,0.380000,0.410000,0.410000,254200
2019-06-06,0.400000,0.410000,0.370000,0.400000,0.400000,106400
2019-06-07,0.400000,0.430000,0.400000,0.410000,0.410000,438800
2019-06-10,0.410000,0.420000,0.390000,0.410000,0.410000,134800
2019-06-11,0.410000,0.460000,0.400000,0.440000,0.440000,249200
2019-06-12,0.470000,0.470000,0.410000,0.420000,0.420000,157600
2019-06-13,0.410000,0.450000,0.400000,0.430000,0.430000,36000
2019-06-14,0.420000,0.430000,0.400000,0.410000,0.410000,120800
2019-06-17,0.390000,0.420000,0.390000,0.410000,0.410000,57000
2019-06-18,0.410000,0.460000,0.400000,0.430000,0.430000,574500
2019-06-19,0.450000,0.450000,0.420000,0.430000,0.430000,81500
2019-06-20,0.420000,0.430000,0.410000,0.420000,0.420000,140100
2019-06-21,0.410000,0.440000,0.410000,0.420000,0.420000,59700
2019-06-24,0.410000,0.430000,0.410000,0.420000,0.420000,40200
2019-06-25,0.410000,0.440000,0.410000,0.410000,0.410000,74800
2019-06-26,0.410000,0.430000,0.410000,0.410000,0.410000,141800
2019-06-27,0.400000,0.440000,0.400000,0.430000,0.430000,93800
2019-06-28,0.420000,0.440000,0.420000,0.420000,0.420000,65400
2019-07-01,0.440000,0.460000,0.390000,0.420000,0.420000,298800
2019-07-02,0.420000,0.420000,0.400000,0.420000,0.420000,50200
2019-07-03,0.420000,0.430000,0.400000,0.420000,0.420000,35300
2019-07-05,0.420000,0.420000,0.410000,0.420000,0.420000,83700
2019-07-08,0.420000,0.430000,0.400000,0.400000,0.400000,67000
2019-07-09,0.420000,0.420000,0.400000,0.410000,0.410000,87300
2019-07-10,0.410000,0.410000,0.360000,0.390000,0.390000,117400
2019-07-11,0.410000,0.410000,0.380000,0.380000,0.380000,64400
2019-07-12,0.380000,0.390000,0.380000,0.390000,0.390000,62200
2019-07-15,0.400000,0.400000,0.380000,0.390000,0.390000,58900
2019-07-16,0.390000,0.410000,0.380000,0.390000,0.390000,156200
2019-07-17,0.400000,0.400000,0.370000,0.370000,0.370000,92100
2019-07-18,0.380000,0.390000,0.370000,0.380000,0.380000,77000
2019-07-19,0.370000,0.400000,0.350000,0.380000,0.380000,95500
2019-07-22,0.400000,0.400000,0.360000,0.380000,0.380000,93000
2019-07-23,0.370000,0.380000,0.350000,0.380000,0.380000,89500
2019-07-24,0.370000,0.380000,0.350000,0.380000,0.380000,75500
2019-07-25,0.370000,0.380000,0.360000,0.370000,0.370000,43800
2019-07-26,0.370000,0.370000,0.350000,0.360000,0.360000,41900
2019-07-29,0.360000,0.390000,0.350000,0.380000,0.380000,329200
2019-07-30,0.370000,0.380000,0.350000,0.370000,0.370000,69200
2019-07-31,0.370000,0.370000,0.350000,0.370000,0.370000,62200
2019-08-01,0.370000,0.370000,0.330000,0.340000,0.340000,154300
2019-08-02,0.340000,0.360000,0.330000,0.340000,0.340000,67000
2019-08-05,0.330000,0.330000,0.300000,0.310000,0.310000,94200
2019-08-06,0.310000,0.310000,0.300000,0.310000,0.310000,67200
2019-08-07,0.300000,0.310000,0.280000,0.300000,0.300000,103800
2019-08-08,0.300000,0.310000,0.280000,0.300000,0.300000,52700
2019-08-09,0.320000,0.320000,0.280000,0.300000,0.300000,80100
