Date,Open,High,Low,Close,Adj Close,Volume
2019-04-01,0.520000,0.530000,0.510000,0.520000,0.520000,820500
2019-04-02,0.520000,0.530000,0.520000,0.530000,0.530000,287900
2019-04-03,0.530000,0.550000,0.520000,0.540000,0.540000,623200
2019-04-04,0.520000,0.540000,0.510000,0.540000,0.540000,1127500
2019-04-05,0.540000,0.550000,0.530000,0.540000,0.540000,1382400
2019-04-08,0.540000,0.560000,0.540000,0.550000,0.550000,867100
2019-04-09,0.550000,0.570000,0.550000,0.570000,0.570000,759100
2019-04-10,0.580000,0.590000,0.570000,0.570000,0.570000,757000
2019-04-11,0.570000,0.570000,0.550000,0.560000,0.560000,676000
2019-04-12,0.560000,0.580000,0.540000,0.540000,0.540000,397400
2019-04-15,0.550000,0.560000,0.550000,0.550000,0.550000,502300
2019-04-16,0.560000,0.570000,0.540000,0.540000,0.540000,416200
2019-04-17,0.540000,0.550000,0.540000,0.540000,0.540000,132200
2019-04-18,0.540000,0.540000,0.530000,0.530000,0.530000,309800
2019-04-22,0.530000,0.540000,0.530000,0.530000,0.530000,293200
2019-04-23,0.540000,0.540000,0.520000,0.540000,0.540000,312000
2019-04-24,0.540000,0.540000,0.520000,0.520000,0.520000,348100
2019-04-25,0.530000,0.530000,0.510000,0.520000,0.520000,913200
2019-04-26,0.530000,0.530000,0.510000,0.520000,0.520000,474500
2019-04-29,0.520000,0.530000,0.510000,0.520000,0.520000,333100
2019-04-30,0.510000,0.540000,0.510000,0.530000,0.530000,535500
2019-05-01,0.530000,0.550000,0.520000,0.540000,0.540000,347800
2019-05-02,0.520000,0.540000,0.510000,0.520000,0.520000,437600
2019-05-03,0.510000,0.530000,0.510000,0.530000,0.530000,371100
2019-05-06,0.540000,0.540000,0.510000,0.530000,0.530000,317000
2019-05-07,0.530000,0.530000,0.510000,0.510000,0.510000,643400
2019-05-08,0.520000,0.520000,0.500000,0.500000,0.500000,301500
2019-05-09,0.500000,0.510000,0.490000,0.500000,0.500000,393900
2019-05-10,0.500000,0.510000,0.500000,0.500000,0.500000,125300
2019-05-13,0.510000,0.510000,0.500000,0.500000,0.500000,560100
2019-05-14,0.490000,0.510000,0.490000,0.500000,0.500000,719500
2019-05-15,0.500000,0.510000,0.500000,0.500000,0.500000,213300
2019-05-16,0.500000,0.520000,0.500000,0.520000,0.520000,205300
2019-05-17,0.520000,0.520000,0.510000,0.520000,0.520000,703100
2019-05-20,0.520000,0.530000,0.500000,0.500000,0.500000,265300
2019-05-21,0.510000,0.530000,0.510000,0.520000,0.520000,339800
2019-05-22,0.520000,0.520000,0.500000,0.510000,0.510000,205500
2019-05-23,0.500000,0.500000,0.500000,0.500000,0.500000,189700
2019-05-24,0.500000,0.510000,0.500000,0.500000,0.500000,150700
2019-05-28,0.500000,0.520000,0.490000,0.500000,0.500000,325100
2019-05-29,0.490000,0.500000,0.490000,0.500000,0.500000,320000
2019-05-30,0.500000,0.510000,0.500000,0.510000,0.510000,267600
2019-05-31,0.500000,0.530000,0.500000,0.520000,0.520000,786400
2019-06-03,0.530000,0.530000,0.520000,0.530000,0.530000,264200
2019-06-04,0.550000,0.550000,0.510000,0.520000,0.520000,337000
2019-06-05,0.520000,0.520000,0.510000,0.520000,0.520000,251400
2019-06-06,0.520000,0.520000,0.510000,0.520000,0.520000,278500
2019-06-07,0.510000,0.530000,0.510000,0.530000,0.530000,197700
2019-06-10,0.530000,0.530000,0.520000,0.520000,0.520000,160700
2019-06-11,0.520000,0.530000,0.520000,0.520000,0.520000,142400
2019-06-12,0.510000,0.520000,0.510000,0.520000,0.520000,137400
2019-06-13,0.520000,0.530000,0.520000,0.530000,0.530000,118200
2019-06-14,0.520000,0.530000,0.520000,0.520000,0.520000,103900
2019-06-17,0.520000,0.520000,0.520000,0.520000,0.520000,126000
2019-06-18,0.520000,0.520000,0.510000,0.520000,0.520000,115000
2019-06-19,0.520000,0.520000,0.510000,0.510000,0.510000,189200
2019-06-20,0.510000,0.530000,0.510000,0.530000,0.530000,492900
2019-06-21,0.520000,0.550000,0.520000,0.540000,0.540000,359500
2019-06-24,0.530000,0.540000,0.530000,0.530000,0.530000,223900
2019-06-25,0.530000,0.530000,0.510000,0.520000,0.520000,243600
2019-06-26,0.510000,0.530000,0.510000,0.530000,0.530000,143900
2019-06-27,0.530000,0.540000,0.520000,0.520000,0.520000,388300
2019-06-28,0.520000,0.540000,0.520000,0.530000,0.530000,798400
2019-07-01,0.520000,0.530000,0.520000,0.520000,0.520000,156300
2019-07-02,0.520000,0.530000,0.520000,0.520000,0.520000,127700
2019-07-03,0.530000,0.540000,0.530000,0.540000,0.540000,584300
2019-07-05,0.540000,0.540000,0.520000,0.520000,0.520000,224200
2019-07-08,0.530000,0.530000,0.520000,0.530000,0.530000,428200
2019-07-09,0.530000,0.530000,0.510000,0.520000,0.520000,299000
2019-07-10,0.520000,0.530000,0.520000,0.530000,0.530000,278900
2019-07-11,0.520000,0.530000,0.520000,0.520000,0.520000,146500
2019-07-12,0.520000,0.550000,0.510000,0.540000,0.540000,1606000
2019-07-15,0.550000,0.550000,0.530000,0.530000,0.530000,476900
2019-07-16,0.550000,0.550000,0.520000,0.530000,0.530000,222100
2019-07-17,0.530000,0.530000,0.510000,0.510000,0.510000,334200
2019-07-18,0.510000,0.510000,0.490000,0.490000,0.490000,759500
2019-07-19,0.500000,0.500000,0.470000,0.470000,0.470000,555000
